
Epoch [1/50], Train Loss: 99.5849, Val Loss: 100.9377
Epoch [2/50], Train Loss: 95.9656, Val Loss: 99.4160
Epoch [3/50], Train Loss: 94.4254, Val Loss: 98.5747
Epoch [4/50], Train Loss: 93.3578, Val Loss: 98.3610
Epoch [5/50], Train Loss: 92.5273, Val Loss: 98.1123
Epoch [6/50], Train Loss: 91.7595, Val Loss: 97.8019
Epoch [7/50], Train Loss: 91.1676, Val Loss: 97.9058
Epoch [8/50], Train Loss: 90.6827, Val Loss: 97.7195
Epoch [9/50], Train Loss: 90.1502, Val Loss: 97.6071
Epoch [10/50], Train Loss: 89.6596, Val Loss: 97.9787
Epoch [11/50], Train Loss: 89.2293, Val Loss: 97.7302
Epoch [12/50], Train Loss: 88.8635, Val Loss: 98.0093
Epoch [13/50], Train Loss: 88.4914, Val Loss: 97.8907
Epoch [14/50], Train Loss: 88.0143, Val Loss: 98.0876
Epoch [15/50], Train Loss: 87.6340, Val Loss: 98.0558
Epoch [16/50], Train Loss: 87.3130, Val Loss: 97.9269
Epoch [17/50], Train Loss: 86.8292, Val Loss: 98.2677
Epoch [18/50], Train Loss: 86.5847, Val Loss: 98.4948
Epoch [19/50], Train Loss: 86.2324, Val Loss: 98.3503
Epoch [20/50], Train Loss: 85.9147, Val Loss: 98.4514
Epoch [21/50], Train Loss: 85.5740, Val Loss: 98.4632
Epoch [22/50], Train Loss: 85.3015, Val Loss: 98.7663
Epoch [23/50], Train Loss: 84.9866, Val Loss: 99.1023
Epoch [24/50], Train Loss: 84.6848, Val Loss: 98.9663
Epoch [25/50], Train Loss: 84.3492, Val Loss: 99.0225
Epoch [26/50], Train Loss: 84.1775, Val Loss: 98.9323
Epoch [27/50], Train Loss: 83.8957, Val Loss: 99.8961
Epoch [28/50], Train Loss: 83.4775, Val Loss: 99.7476
Epoch [29/50], Train Loss: 83.3068, Val Loss: 99.4900
Epoch [30/50], Train Loss: 82.9936, Val Loss: 99.4926
Epoch [31/50], Train Loss: 82.6440, Val Loss: 99.4680
Epoch [32/50], Train Loss: 82.6187, Val Loss: 100.3541
Epoch [33/50], Train Loss: 82.2357, Val Loss: 99.8359
Epoch [34/50], Train Loss: 82.0469, Val Loss: 100.1656
Epoch [35/50], Train Loss: 81.9350, Val Loss: 100.3642
Epoch [36/50], Train Loss: 81.5124, Val Loss: 100.7471
Epoch [37/50], Train Loss: 81.4238, Val Loss: 100.6458
Epoch [38/50], Train Loss: 81.2069, Val Loss: 100.6424
Epoch [39/50], Train Loss: 80.8766, Val Loss: 100.4304
Epoch [40/50], Train Loss: 80.8967, Val Loss: 100.8410
Epoch [41/50], Train Loss: 80.6583, Val Loss: 100.3869
Epoch [42/50], Train Loss: 80.4311, Val Loss: 100.8179
Epoch [43/50], Train Loss: 80.0773, Val Loss: 101.0160
Epoch [44/50], Train Loss: 79.8531, Val Loss: 101.0320
Epoch [45/50], Train Loss: 79.8558, Val Loss: 100.8427
Epoch [46/50], Train Loss: 79.6572, Val Loss: 100.9691
Epoch [47/50], Train Loss: 79.5656, Val Loss: 101.4538
Epoch [48/50], Train Loss: 79.2885, Val Loss: 101.3272
Epoch [49/50], Train Loss: 79.1089, Val Loss: 101.7148
Epoch [50/50], Train Loss: 78.9816, Val Loss: 101.1461
