
Epoch [1/50], Train Loss: 98.0172, Val Loss: 98.1480
Epoch [2/50], Train Loss: 94.8788, Val Loss: 97.0635
Epoch [3/50], Train Loss: 93.8261, Val Loss: 96.4628
Epoch [4/50], Train Loss: 93.1460, Val Loss: 96.4578
Epoch [5/50], Train Loss: 92.6700, Val Loss: 96.2532
Epoch [6/50], Train Loss: 92.2753, Val Loss: 95.9535
Epoch [7/50], Train Loss: 92.0018, Val Loss: 95.8403
Epoch [8/50], Train Loss: 91.6899, Val Loss: 95.8654
Epoch [9/50], Train Loss: 91.4705, Val Loss: 95.8295
Epoch [10/50], Train Loss: 91.2167, Val Loss: 95.7039
Epoch [11/50], Train Loss: 91.0688, Val Loss: 96.2476
Epoch [12/50], Train Loss: 90.8699, Val Loss: 95.8633
Epoch [13/50], Train Loss: 90.8384, Val Loss: 96.0403
Epoch [14/50], Train Loss: 90.6150, Val Loss: 95.9248
Epoch [15/50], Train Loss: 90.3747, Val Loss: 95.8783
Epoch [16/50], Train Loss: 90.2645, Val Loss: 95.8186
Epoch [17/50], Train Loss: 90.2033, Val Loss: 95.7159
Epoch [18/50], Train Loss: 89.9671, Val Loss: 95.8546
Epoch [19/50], Train Loss: 89.8329, Val Loss: 95.8679
Epoch [20/50], Train Loss: 89.7349, Val Loss: 95.9591
Epoch [21/50], Train Loss: 89.5915, Val Loss: 95.9999
Epoch [22/50], Train Loss: 89.6268, Val Loss: 95.8832
Epoch [23/50], Train Loss: 89.4513, Val Loss: 95.8881
Epoch [24/50], Train Loss: 89.3262, Val Loss: 96.2297
Epoch [25/50], Train Loss: 89.2518, Val Loss: 95.9758
Epoch [26/50], Train Loss: 89.2006, Val Loss: 95.9568
Epoch [27/50], Train Loss: 89.1133, Val Loss: 96.1888
Epoch [28/50], Train Loss: 89.0519, Val Loss: 96.0366
Epoch [29/50], Train Loss: 88.9600, Val Loss: 96.0783
Epoch [30/50], Train Loss: 88.9363, Val Loss: 95.9543
Epoch [31/50], Train Loss: 88.7113, Val Loss: 96.5242
Epoch [32/50], Train Loss: 88.7349, Val Loss: 96.1258
Epoch [33/50], Train Loss: 88.6108, Val Loss: 96.1091
Epoch [34/50], Train Loss: 88.5730, Val Loss: 96.1196
Epoch [35/50], Train Loss: 88.5226, Val Loss: 96.2888
Epoch [36/50], Train Loss: 88.4268, Val Loss: 96.1485
Epoch [37/50], Train Loss: 88.3651, Val Loss: 96.0047
Epoch [38/50], Train Loss: 88.3784, Val Loss: 96.0520
Epoch [39/50], Train Loss: 88.3020, Val Loss: 96.0203
Epoch [40/50], Train Loss: 88.2282, Val Loss: 96.2399
Epoch [41/50], Train Loss: 88.2115, Val Loss: 96.2654
Epoch [42/50], Train Loss: 88.0384, Val Loss: 96.2669
Epoch [43/50], Train Loss: 88.1604, Val Loss: 96.2876
Epoch [44/50], Train Loss: 88.0629, Val Loss: 95.9820
Epoch [45/50], Train Loss: 88.0022, Val Loss: 96.1725
Epoch [46/50], Train Loss: 87.9535, Val Loss: 96.2921
Epoch [47/50], Train Loss: 87.9116, Val Loss: 96.7880
Epoch [48/50], Train Loss: 87.8384, Val Loss: 96.3439
Epoch [49/50], Train Loss: 87.6979, Val Loss: 96.3572
Epoch [50/50], Train Loss: 87.7618, Val Loss: 96.4035
